object_number,gating strategy,ml,expert,gating correct,curated by KE
17,Synapse without signaling,None,Synapse with signaling,0,0
1078,Multiplets_I,None,Multiplets,1,1
1480,unfocused,None,unfocused single T cell without signaling,1,1
1965,gated out,None,Synapse with signaling (but one unfocused cell can be seen in front of the synapse --> BF),0,1
2292,Multiplets_II,None,Unknown (one single Synapse with signaling and another B cell is separately in the image),0,0
5805,single T cell without signaling,None,single T cell without signaling,1,1
6289,gated out (gate single B-LCL cells but a too big area),None,unknown (too big B-LCL cell),1,1
8083,dead cell,None,dead cell,1,1
9043,single B-LCL cell,None,single B-LCL cell,1,1
9963,dead cell,None,dead cell,1,1
10432,dead cell,None,dead cell,1,1
10469,gated out (unfocused?),None,Synapse with signaling,0,0
11192,gated out,None,Synapse with signaling,0,0
13355,single T cell with signaling,None,single T cell with signaling,1,1
13622,single B-LCL cell,None,single B-LCL cell,1,1
15455,unfocused,None,unfocused single B-LCL ,0,1
17878,single B-LCL cell,None,single B-LCL cell,1,1
17980,unfocused,None,"unknown (two single B-LCL cells in one image, non-interacting, one cell is not in focus)",0,1
18206,unfocused,None,T+B cell fragment (however B cell is not in focus),0,1
18814,unfocused,None,T+B cell in one layer but cells are not in focus,0,1
19946,dead cell,None,dead cell,1,1
21388,dead cell,None,dead cell,1,1
22186,single B-LCL cell,None,unknown (weird B-LCL cell),0,0
22641,dead cell,None,dead cell,1,1
23044,dead cell,None,dead cell,1,1
25558,single T cell with signaling,None,unknown (single T cell with signaling or T+B cell fragment),0,0
26207,dead cell,None,dead cell,1,1
27048,dead cell,None,dead cell,1,1
27661,gated out (unfocused?),None,unknown (Synapse but weird B-LCL cells and signaling is not clear),0,0
28897,unfocused,None,unknwon (weird single T cell),0,0
29803,single B-LCL cell,None,single B-LCL cell,1,1
31255,single T cell without signaling,None,T+B cell fragment,0,0
31514,gated out,None,Multiplets,0,0
32846,gated out,None,single T cell without signaling but T cell looks a little bit weird,0,0
33210,single T cell without signaling,None,single T cell with (weak) signaling,0,0
33590,Synapse without signaling,None,synapse with signaling,0,0
35034,small single B-LCL cell,None,single B-LCL cell (small),0,1
35492,Doublets B-LCL cells,None,"unknown (two B-LCL cells in one image, non-interacting)",0,1
38113,gated out (unfocused?),None,single T cell with signaling,0,0
40091,Synapse with signaling,None,Synapse with signaling,1,1
40513,gated out,None,single T cell without signaling (weird dot visible),0,0
41204,dead cell,None,dead cell,1,1
42767,Synapse with signaling,None,Synapse with signaling,1,1
43016,dead cell,None,dead cell,1,1
43697,unfocused,None,unfocused synapse,0,1
44015,single T cell with signaling,None,single T cell with signaling,1,1
44099,gated out,None,cropped image (single B-LCL cell with a weird dot),0,1
44882,single B-LCL cell,None,single B-LCL cell,1,1
45504,Synapse without signaling,None,Synapse without signaling,1,1
45937,unfocused,None,unknown (unfocused synapse with no CD3 signal),0,1
45959,dead cell,None,dead cell,1,1
46122,unfocused,None,single T cell with (weak) signaling (not good in focus),0,1
46281,dead cell,None,dead cell,1,1
48294,gated out,None,unknown (synapse without signaling but no CD3 signal),0,1
48461,unfocused,None,not focused single T cell with signaling,0,1
48589,gated out,None,unknown (weird cell),0,1
48604,dead cell,None,dead cell,1,1
51150,dead cell,None,dead cell,1,1
51414,unfocused,None,no cell cell interaction but T cell is not in focus,0,0
52701,single B-LCL cell,None,single B-LCL cell,1,1
53605,dead cell,None,dead cell,1,1
54275,gated out (cell between single T cell gate and multiplets I),None,Synapse without signaling,0,0
220034,gated out,None,unknown (weird cell),0,1
222328,unfocused,None,unfocused synapse,1,1
225029,gated out,None,unknown (single B-LCL but no MHCII signal),1,1
225490,single T cell without signaling,None,single T cell with signaling,0,0
226598,single T cell without signaling,None,single T cell without signaling,1,1
229231,single T cell without signaling,None,single T cell without signaling,1,1
231166,no cell-cell interaction,None,no cell-cell interaction,1,1
231975,dead cell,None,dead cell,1,1
232125,Synapse with signaling,None,Synapse with signaling,1,1
232223,gated out,None,single T cell with (weak) signaling,0,0
233160,single B-LCL cell,None,single B-LCL cell,1,1
235749,dead cell,None,dead cell,1,1
235895,single B-LCL cell,None,single B-LCL cell,1,1
